,rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,rowupdate
185,186,HAT-P-51,b,Transit,1,4.2180278,5.9e-06,-5.9e-06,01h24m15.65s,21.06519,+32d48m38.8s,32.810764,470.0,16.0,-16.0,13.44,V (Johnson),5449.0,50.0,-50.0,0.98,0.03,-0.03,1.04,0.04,-0.03,2015-11-19
186,187,HAT-P-52,b,Transit,1,2.7535953,9.4e-06,-9.4e-06,02h50m53.20s,42.721678999999995,+29d01m20.6s,29.022396,385.0,21.0,-21.0,14.068,V (Johnson),5131.0,50.0,-50.0,0.89,0.03,-0.03,0.89,0.05,-0.05,2015-11-19
187,188,HAT-P-53,b,Transit,1,1.9616241,3.9e-06,-3.9e-06,01h27m29.07s,21.871105,+38d58m05.3s,38.968146999999995,719.0,43.0,-43.0,13.73,V (Johnson),5956.0,50.0,-50.0,1.09,0.04,-0.04,1.21,0.08,-0.06,2015-11-19
188,189,HAT-P-54,b,Transit,1,3.799847,1.4e-05,-1.4e-05,06h39m35.52s,99.898,+25d28m57.1s,25.48254,135.8,3.5,-3.5,13.6,Kepler-band,4390.0,50.0,-50.0,0.65,0.02,-0.02,0.62,0.01,-0.01,2015-04-24
189,190,HAT-P-55,b,Transit,1,3.5852467,6.4e-06,-6.4e-06,17h37m05.63s,264.27344700000003,+25d43m52.3s,25.731185999999997,480.0,19.0,-19.0,13.207,V (Johnson),5808.0,50.0,-50.0,1.01,0.04,-0.04,1.01,0.04,-0.04,2015-06-17
190,191,HAT-P-56,b,Transit,1,2.7908327,4.7e-06,-4.7e-06,06h43m23.53s,100.848038,+27d15m08.3s,27.252292999999998,310.5,7.1,-7.1,10.908,V (Johnson),6566.0,50.0,-50.0,1.3,0.04,-0.04,1.43,0.03,-0.03,2015-07-23
191,192,HAT-P-57,b,Transit,1,2.465295,3.2e-06,-3.2e-06,18h18m58.42s,274.743421,+10d35m50.3s,10.597294,303.0,13.0,-13.0,10.465,V (Johnson),7500.0,250.0,-250.0,1.47,0.12,-0.12,1.5,0.05,-0.05,2015-11-05
192,193,HAT-P-6,b,Transit,1,3.852985,5e-06,-5e-06,23h39m05.81s,354.774222,+42d27m57.5s,42.465973,261.0,20.0,-20.0,10.44,V (Johnson),6570.0,80.0,-80.0,1.29,0.06,-0.06,1.46,0.06,-0.06,2014-05-14
193,194,HAT-P-7,b,Transit,1,2.2047354,1e-07,-1e-07,19h28m59.35s,292.24731,+47d58m10.2s,47.969513,320.0,50.0,-40.0,10.463,Kepler-band,6350.0,80.0,-80.0,1.47,0.08,-0.05,1.84,0.23,-0.11,2015-10-15
197,198,HATS-10,b,Transit,1,3.312846,5.8e-06,-5.8e-06,19h37m13.64s,294.306813,-22d12m16.1s,-22.204477,496.0,24.0,-24.0,13.113,V (Johnson),5880.0,120.0,-120.0,1.1,0.05,-0.05,1.1,0.06,-0.04,2015-05-21
198,199,HATS-13,b,Transit,1,3.0440499,2.7e-06,-2.7e-06,21h07m50.75s,316.961465,-26d05m48.0s,-26.096655,476.0,12.0,-12.0,13.887,V (Johnson),5523.0,69.0,-69.0,0.96,0.03,-0.03,0.89,0.02,-0.02,2015-08-13
199,200,HATS-14,b,Transit,1,2.7667641,2.7e-06,-2.7e-06,20h52m51.71s,313.215479,-25d41m14.4s,-25.687334,513.0,14.0,-14.0,13.79,V (Johnson),5346.0,60.0,-60.0,0.97,0.02,-0.02,0.93,0.02,-0.01,2015-08-13
200,201,HATS-15,b,Transit,1,1.74748753,9.4e-07,-9.4e-07,20h44m22.07s,311.09196099999997,-19d26m15.0s,-19.43751,689.0,23.0,-23.0,14.774000000000001,V (Johnson),5311.0,77.0,-77.0,0.87,0.02,-0.02,0.92,0.03,-0.03,2016-06-23
