,row_id,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
3150,3151,NN Ser c,Eclipse Timing Variations,2,0.0007634875839675515,102.2,-102.2,15h52m56.13s,238.233879,+12d54m44.7s,12.912411,0.05846796260705513,800.0,-1100.0,0.5550777202072538,V (Johnson),57000.0,66.66666667,-64.70967742,0.13402061855670105,0.2425,-0.2475,18.39333333,0.598333333,-0.614705882
3151,3152,NN Ser d,Eclipse Timing Variations,2,0.00039498757938874766,182.5,-182.5,15h52m56.13s,238.233879,+12d54m44.7s,12.912411,0.05846796260705513,733.3333332999999,-966.6666667000002,0.5904663212435233,V (Johnson),57000.0,68.0,-65.06451613,0.13402061855670105,0.185,-0.195,17.712,0.578,-0.597647059
3152,3153,NY Vir b,Eclipse Timing Variations,1,0.00040898757956270494,65.7,-65.7,13h38m48.15s,204.700622,-02d01m49.1s,-2.0303150000000003,0.3703504499934681,666.6666667000001,-833.3333332999999,0.6258549222797928,V (Johnson),54877.083329999994,69.33333333,-65.41935484,0.14561855670103094,0.1275,-0.1425,17.03066667,0.557666667,-0.580588235
3153,3154,OGLE 2003-BLG-235L b,Microlensing,1,0.0004226542464448492,1138.8,-408.8,18h05m16.35s,271.318125,-28d53m42.0s,-28.895,0.682232937379881,600.0,-700.0,0.6612435233160622,V (Johnson),52754.16667,70.66666667,-65.77419355,0.15721649484536082,0.07,-0.09,16.34933333,0.537333333,-0.5635294120000001
3154,3155,OGLE 2005-BLG-169L b,Microlensing,1,0.000436320913190007,2211.9,-751.9,18h06m05.32s,271.52216699999997,-30d43m57.5s,-30.732639000000002,0.48215737943388026,400.0,-400.0,0.6966321243523316,V (Johnson),50631.25,72.0,-66.12903226,0.17268041237113402,0.02,-0.02,15.668,0.517,-0.5464705879999999
3155,3156,OGLE 2005-BLG-390L b,Microlensing,1,0.00044998758007215123,3285.0,-1095.0,17h54m19.19s,268.57995800000003,-30d22m38.3s,-30.377306,0.7763861411191755,1000.0,-1000.0,0.7320207253886011,V (Johnson),48508.33333,73.33333333,-66.48387097,0.051546391752577324,0.21,-0.11,14.98666667,0.496666667,-0.529411765
3156,3157,OGLE 2005-BLG-71L b,Microlensing,1,0.0003474875787985355,1934.5,-821.25,17h50m09.77s,267.540708,-34d40m23.5s,-34.673194,0.376235025227174,400.0,-400.0,0.7674093264248704,V (Johnson),46385.41667,74.66666667,-66.83870968,0.11340206185567013,0.04,-0.04,14.30533333,0.47633333299999997,-0.5123529410000001
3157,3158,OGLE 2006-BLG-109L b,Microlensing,2,0.00024498757752491976,584.0,-547.5,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778000000004,0.17733638232791443,110.0,-120.0,0.8027979274611399,V (Johnson),44262.5,76.0,-67.19354839,0.12628865979381443,0.05,-0.04,13.624,0.456,-0.49529411799999995
3158,3159,OGLE 2006-BLG-109L c,Microlensing,2,0.000674987582867893,3540.5,-1752.0,17h52m34.51s,268.143792,-30d05m16.0s,-30.087778000000004,0.17733638232791443,110.0,-120.0,0.8381865284974093,V (Johnson),42139.58333,77.33333333,-67.5483871,0.12628865979381443,0.05,-0.04,12.94266667,0.435666667,-0.478235294
3159,3160,OGLE 2007-BLG-368L b,Microlensing,1,0.0006352914656623193,3354.157895,-1659.789474,17h56m25.96s,269.108167,-32d14m14.7s,-32.237417,0.6940020878472929,900.0,-1400.0,0.8735751295336788,V (Johnson),40016.66667,78.66666667,-67.90322581,0.1597938144329897,0.21,-0.26,12.26133333,0.41533333299999997,-0.46117647100000003
3160,3161,OGLE 2008-BLG-355L b,Microlensing,1,0.0005955953484567457,3167.8157899999997,-1567.578947,17h59m08.81s,269.78670800000003,-30d45m34.1s,-30.759472,0.7999244420539992,1100.0,-1100.0,0.8657707253886009,V (Johnson),37893.75,80.0,-68.25806452,0.09020618556701032,0.3,-0.17,11.58,0.395,-0.444117647
3161,3162,OGLE 2008-BLG-92L b,Microlensing,1,0.0005558992313881585,2981.473684,-1475.3684210000001,17h47m29.42s,266.872583,-34d43m35.6s,-34.726556,0.9529233981303527,855.0,-855.0,0.8579663212435233,V (Johnson),35770.83333,81.33333333,-68.61290323,0.17783505154639176,0.205,-0.14,10.89866667,0.374666667,-0.427058824
3162,3163,OGLE 2011-BLG-251L b,Microlensing,1,0.0005162031141825847,2795.131579,-1383.1578949999998,17h38m14.18s,264.559083,-27d08m10.1s,-27.136139,0.3020893772824796,610.0,-610.0,0.8501619170984455,V (Johnson),33647.91667,82.66666667,-68.96774194,0.06185567010309279,0.11,-0.11,10.21733333,0.354333333,-0.41
3163,3164,OGLE 2011-BLG-265L b,Microlensing,1,0.00047650699697701117,2608.7894739999997,-1290.947369,17h57m47.72s,269.448833,-27d23m40.3s,-27.394528,0.5151110007426334,510.0,-450.0,0.8423575129533679,V (Johnson),31525.0,84.0,-69.32258065,0.04896907216494845,0.07,-0.04,9.536,0.33399999999999996,-0.392941176
3164,3165,OGLE 2012-BLG-0563L b,Microlensing,1,0.0004368108797714376,2422.447369,-1198.736842,18h05m57.72s,271.4905,-27d42m43.2s,-27.712,0.15262116634634962,600.0,-800.0,0.83455310880829,V (Johnson),29402.08333,85.33333333,-69.67741935,0.08247422680412374,0.12,-0.2,8.854666667,0.313666667,-0.37588235299999995
3165,3166,OGLE 2012-BLG-0724L b,Microlensing,1,0.000397114762565864,2236.1052640000003,-1106.526316,17h55m52.39s,268.968292,-29d49m06.7s,-29.818528000000004,0.7881552915865874,1100.0,-1200.0,0.8267487046632123,V (Johnson),27279.16667,86.66666667,-70.03225806,0.06958762886597938,0.33,-0.16,8.173333332999999,0.29333333300000003,-0.358823529
3166,3167,OGLE 2012-BLG-26L b,Microlensing,2,0.00035741864536029035,2049.7631579999997,-1014.31579,17h34m18.70s,263.577917,-27d08m33.9s,-27.14275,0.4726243675552767,380.0,-380.0,0.8189443005181346,V (Johnson),25156.25,88.0,-70.38709677,0.2680412371134021,0.05,-0.05,7.492000000000001,0.273,-0.34176470600000003
3167,3168,OGLE 2012-BLG-26L c,Microlensing,2,0.000317722528291703,1863.421053,-922.1052636,17h34m18.70s,263.577917,-27d08m33.9s,-27.14275,0.4726243675552767,380.0,-380.0,0.8111398963730568,V (Johnson),23033.33333,89.33333333,-70.74193548,0.2680412371134021,0.05,-0.05,6.8106666670000005,0.252666667,-0.324705882
3168,3169,OGLE 2012-BLG-358L b,Microlensing,1,0.0002780264110861294,1677.078948,-829.8947373999999,17h42m46.77s,265.694875,-24d15m39.6s,-24.261,0.20675925849644394,130.0,-130.0,0.8033354922279793,V (Johnson),20910.41667,90.66666667,-71.09677419,0.0,0.0,0.0,6.129333333,0.232333333,-0.307647059
3169,3170,OGLE 2012-BLG-406L b,Microlensing,1,0.00023833029388055574,1490.736843,-737.6842111000001,17h53m18.17s,268.325708,-30d28m16.2s,-30.471166999999998,0.5845489885003631,290.0,-290.0,0.7955310880829014,V (Johnson),18787.5,92.0,-71.4516129,0.10824742268041239,0.07,-0.07,5.4479999999999995,0.212,-0.290588235
3170,3171,OGLE 2013-BLG-102L b,Microlensing,1,0.0001986341766749821,1304.3947369999999,-645.4736847999999,17h52m07.08s,268.0295,-31d41m26.1s,-31.690583,0.3574043844793151,310.0,-310.0,0.7877266839378239,V (Johnson),16664.58333,93.33333333,-71.80645161,0.02061855670103093,0.01,-0.01,4.766666667,0.19166666699999999,-0.27352941199999997
3171,3172,OGLE 2013-BLG-341L B b,Microlensing,1,0.00015893805946940847,1118.0526320000001,-553.2631586,17h52m07.49s,268.031208,-29d50m46.0s,-29.846110999999997,0.1362620471966472,93.0,-93.0,0.779922279792746,V (Johnson),14541.666669999999,94.66666667,-72.16129032,0.03350515463917526,0.01,-0.01,4.085333333,0.171333333,-0.256470588
3172,3173,OGLE 2014-BLG-124L b,Microlensing,1,0.00011924194231862933,931.7105270999999,-461.05263229999997,18h02m29.21s,270.621708,-28d23m46.5s,-28.39625,0.48215737943388026,590.0,-590.0,0.7721178756476683,V (Johnson),12418.75,96.0,-72.51612903,0.17783505154639176,0.22,-0.22,3.404,0.151,-0.239411765
