row_id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
1457,Kepler-1473,b,Transit,1,1.96E-06,8.41E-05,-8.41E-05,19h22m32.78s,290.636569,+48d59m45.9s,48.996082,0.073179401,46.75,-36.61,0.648134715,Kepler-band,6046,77.17,-64.08,0.275773196,0.04,-0.04,1.09,0.08,-0.06
1458,Kepler-1474,b,Transit,1,4.98E-06,0.0003218,-0.0003218,19h38m46.57s,294.694049,+45d52m00.6s,45.866837,0.142499697,238.52,-132.81,0.745906736,Kepler-band,5870,115.73,-173.32,0.262886598,0.07,-0.07,1.04,0.2,-0.11
1459,Kepler-1475,b,Transit,1,1.12E-05,0.00115,-0.00115,19h43m47.59s,295.948273,+44d45m11.2s,44.753124,0.201345449,573.22,-277.87,0.748290155,Kepler-band,6214,192.71,-203.22,0.298969072,0.15,-0.11,1.28,0.43,-0.19
1460,Kepler-1476,b,Transit,1,1.41E-06,5.89E-05,-5.89E-05,18h58m07.70s,284.532096,+43d59m23.8s,43.989956,0.142970463,255.04,-96.65,0.754300518,Kepler-band,5663,68.09,-77.19,0.24742268,0.04,-0.05,0.96,0.2,-0.07
1461,Kepler-1477,b,Transit,1,1.57E-06,8.10E-05,-8.10E-05,18h45m11.65s,281.298535,+42d41m08.7s,42.685753,0.06141025,29.97,-32.76,0.712331606,Kepler-band,5100,78.06,-73.51,0.203608247,0.04,-0.04,0.78,0.04,-0.04
1462,Kepler-1478,b,Transit,1,3.56E-06,0.0005121,-0.0005121,19h32m39.62s,293.165079,+41d44m46.4s,41.746235,0.164978774,375.74,-156.48,0.755958549,Kepler-band,5904,102.51,-137.72,0.262886598,0.07,-0.07,1.06,0.28,-0.11
1463,Kepler-1479,b,Transit,1,1.98E-06,4.43E-05,-4.43E-05,19h02m50.86s,285.711919,+49d42m24.0s,49.706657,0.072473252,95.58,-52.46,0.670207254,Kepler-band,5796,74.44,-79.45,0.25,0.05,-0.06,0.98,0.16,-0.08
1464,Kepler-148,b,Transit,3,2.24E-07,4.00E-06,-4.00E-06,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,0.070148844,79.6325,-45.66,0.750880829,Kepler-band,5272,200,-200,0.240979381,0.0475,-0.055,0.85,0.41,-0.41
1465,Kepler-148,c,Transit,3,5.60E-07,4.00E-06,-4.00E-06,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,0.067824437,63.685,-38.86,0.750880829,Kepler-band,5272,200,-200,0.231958763,0.045,-0.05,0.85,0.41,-0.41
1466,Kepler-148,d,Transit,3,7.09E-06,2.57E-05,-2.57E-05,19h19m08.69s,289.786216,+46d51m31.6s,46.858788,0.06550003,47.7375,-32.06,0.750880829,Kepler-band,5272,200,-200,0.222938144,0.0425,-0.045,0.85,0.41,-0.41
1467,Kepler-1480,b,Transit,1,3.02E-06,9.37E-05,-9.37E-05,19h27m59.95s,291.999771,+49d18m06.5s,49.301811,0.063175623,31.79,-25.26,0.708445596,Kepler-band,5156,61.41,-70.65,0.213917526,0.04,-0.04,0.81,0.04,-0.03
1468,Kepler-1481,b,Transit,1,8.02E-07,2.34E-05,-2.34E-05,19h17m45.35s,289.438971,+49d43m52.4s,49.73122,0.057644122,21.56,-22.23,0.721709845,Kepler-band,4908,52.54,-65.82,0.201030928,0.03,-0.04,0.75,0.03,-0.03
